timestamp,mmsi,latitude,longitude,sog,cog,true_heading,navigational_status
2025-05-10 16:33:54.548378292 +0000 UTC,368133450,33.73029666666667,-118.26258333333334,0,323.5,252,12
2025-05-10 16:33:54.732379701 +0000 UTC,367393270,33.735036666666666,-118.27105,0,235.5,511,0
2025-05-10 16:33:57.465945899 +0000 UTC,368226970,33.74079833333333,-118.27841166666667,0,267.1,511,0
2025-05-10 16:33:57.928023945 +0000 UTC,367044560,33.76278833333333,-118.26561166666667,0.1,238.2,511,15
2025-05-10 16:33:57.949337972 +0000 UTC,367034960,33.76744333333333,-118.21696833333334,0,300.6,511,0
2025-05-10 16:33:57.983798268 +0000 UTC,367027570,33.75393,-118.22433166666666,0,249.4,255,0
2025-05-10 16:33:58.361604804 +0000 UTC,338140889,33.77000666666667,-118.21238333333334,0,253.3,511,15
2025-05-10 16:33:59.294585459 +0000 UTC,235103357,33.745823333333334,-118.27528833333334,0,25.6,26,5
2025-05-10 16:33:59.441729285 +0000 UTC,367580930,33.76245333333333,-118.1954,0,360,511,0
2025-05-10 16:33:59.516565317 +0000 UTC,367035570,33.7335,-118.26353166666667,0,246.4,177,3
2025-05-10 16:34:00.265948963 +0000 UTC,368171260,33.739428333333336,-118.27665499999999,5.6,186,185,12
2025-05-10 16:34:01.220793312 +0000 UTC,367724740,33.734458333333336,-118.18054333333333,15.9,202.6,511,15
2025-05-10 16:34:01.66274245 +0000 UTC,477035300,33.756530000000005,-118.21838166666666,0,196.4,341,5
2025-05-10 16:34:01.747837659 +0000 UTC,367781000,33.72700666666667,-118.25947,0,186.6,202,5
2025-05-10 16:34:03.577756317 +0000 UTC,367704150,33.76223,-118.19549333333333,0,360,511,0
2025-05-10 16:34:03.903073444 +0000 UTC,367401030,33.739808333333336,-118.27820666666666,0.1,127.9,8,0
2025-05-10 16:34:05.081304469 +0000 UTC,368010330,33.743743333333335,-118.214715,6.2,322.8,316,0
2025-05-10 16:34:05.371571105 +0000 UTC,366998840,33.76395,-118.25681666666667,0.2,87.3,309,0
2025-05-10 16:34:05.494558308 +0000 UTC,311001627,33.73054833333334,-118.222735,0.8,337.3,32,0
2025-05-10 16:34:06.376352561 +0000 UTC,367034320,33.76137833333333,-118.19560833333334,0,360,511,15
2025-05-10 16:34:07.02695669 +0000 UTC,367027570,33.753928333333334,-118.22433166666666,0,247.3,254,0
2025-05-10 16:34:09.198485559 +0000 UTC,367698890,33.74482666666667,-118.27424166666667,6.3,210.6,210,5
2025-05-10 16:34:09.320991121 +0000 UTC,367754810,33.771168333333335,-118.21306333333334,0,49.6,330,0
2025-05-10 16:34:09.694797005 +0000 UTC,366892000,33.741838333333334,-118.213375,6.3,315.7,325,0
2025-05-10 16:34:09.748462011 +0000 UTC,338602000,33.747769999999996,-118.17265333333333,0.2,256,34,15
2025-05-10 16:34:09.896415455 +0000 UTC,367192940,33.748380000000004,-118.274095,1.6,178.3,511,0
2025-05-10 16:34:10.483870592 +0000 UTC,367133910,33.765465,-118.25564,0,355.8,150,0
2025-05-10 16:34:11.111132262 +0000 UTC,368010330,33.743880000000004,-118.21484166666667,6.1,323.3,317,0
2025-05-10 16:34:11.329167018 +0000 UTC,368064650,33.72374333333333,-118.27957333333333,0,360,511,15
2025-05-10 16:34:13.563733338 +0000 UTC,636022007,33.74308,-118.21459833333333,6.3,319.9,327,0
2025-05-10 16:34:13.863480324 +0000 UTC,636015175,33.77041333333333,-118.22478,0,168.9,57,5
2025-05-10 16:34:16.760332747 +0000 UTC,367034320,33.76137166666667,-118.19560333333334,0,360,511,15
2025-05-10 16:34:18.589123734 +0000 UTC,338602000,33.747769999999996,-118.17265333333333,0.1,276,33,15
2025-05-10 16:34:20.102861025 +0000 UTC,367724740,33.733048333333336,-118.18145666666666,18.1,213.1,511,15
2025-05-10 16:34:25.232832149 +0000 UTC,366998840,33.763933333333334,-118.25681666666667,0,97.4,309,0
2025-05-10 16:34:26.226148855 +0000 UTC,367569830,33.763758333333335,-118.25703833333334,0,315.3,206,0
2025-05-10 16:34:27.251096518 +0000 UTC,367199310,33.76305333333333,-118.19946666666667,0.1,245.1,511,15
2025-05-10 16:34:28.860937199 +0000 UTC,338145691,33.726256666666664,-118.26906166666666,0.1,74.5,511,0
2025-05-10 16:34:31.388436425 +0000 UTC,366921510,33.731005,-118.26129166666666,0,164.5,253,5
2025-05-10 16:34:32.413557166 +0000 UTC,367625810,33.739731666666664,-118.27797666666667,0,310.2,10,0
2025-05-10 16:34:32.884409922 +0000 UTC,538007597,33.73538,-118.16370666666667,0.1,99.1,112,1
2025-05-10 16:34:33.558932773 +0000 UTC,477737600,33.74359,-118.19464833333333,0,303.3,90,5
2025-05-10 16:34:34.115741416 +0000 UTC,367461940,33.74433166666667,-118.22553666666666,0.1,280.1,511,3
2025-05-10 16:34:34.173215811 +0000 UTC,636022007,33.74354833333334,-118.21505333333333,6.3,321.1,330,0
2025-05-10 16:34:34.237956415 +0000 UTC,367661930,33.729795,-118.22329500000001,0.7,317.4,38,0
2025-05-10 16:34:35.574821862 +0000 UTC,368024740,33.729796666666665,-118.22444999999999,16.9,12.4,19,0
2025-05-10 16:34:36.181613054 +0000 UTC,367533290,33.73449,-118.27071333333333,0.1,251.5,511,0
2025-05-10 16:34:37.413770176 +0000 UTC,367550000,33.745455,-118.22483166666666,0,234.4,189,5
2025-05-10 16:34:37.54219487 +0000 UTC,367004260,33.76757333333333,-118.21689166666667,0,258,511,5
2025-05-10 16:34:39.069056309 +0000 UTC,366978690,33.73869333333333,-118.1785,6.9,359.5,346,5
2025-05-10 16:34:41.532945921 +0000 UTC,220415000,33.73161833333333,-118.24978333333334,0,193.3,251,5
2025-05-10 16:34:41.548523272 +0000 UTC,368064650,33.72376333333333,-118.279585,0,360,511,15
2025-05-10 16:34:42.314347027 +0000 UTC,367452280,33.735195,-118.269055,0,360,511,0
2025-05-10 16:34:42.529693309 +0000 UTC,368136950,33.740233333333336,-118.27813333333333,0,41.8,189,0
2025-05-10 16:34:43.243711313 +0000 UTC,367017440,33.77085833333334,-118.211665,0,246.9,511,0
